"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/1979","-45.9375","-22.6366004943848","1212","24.853","14.09","15.82631856","1.58155475449357","0.924004281127126","29.02763898",
"1/2/1979","-45.9375","-22.6366004943848","1212","25.736","15.646","6.6647530728","1.32233957520449","0.929136108822427","26.2246482",
"1/3/1979","-45.9375","-22.6366004943848","1212","22.026","17.961","6.991767936","1.8174672527274","0.937507109579119","15.07286646",
"1/4/1979","-45.9375","-22.6366004943848","1212","20.243","14.849","8.96758884","2.35522203718928","0.953266579431698","12.58030746",
"1/5/1979","-45.9375","-22.6366004943848","1212","22.18","13.286","0.4428863784","2.37267193830156","0.873552573805123","22.21678422",
"1/6/1979","-45.9375","-22.6366004943848","1212","17.415","12.062","0.6952288464","2.41023414334016","0.901113107182272","11.83955994",
"1/7/1979","-45.9375","-22.6366004943848","1212","18.291","11.452","0.6488805888","2.54850312852372","0.896015152504374","13.19405832",
"1/8/1979","-45.9375","-22.6366004943848","1212","21.608","8.80200000000002","2.3242922856","2.31108807959344","0.88738954018205","29.89541898",
"1/9/1979","-45.9375","-22.6366004943848","1212","20.759","11.736","0.3690721872","2.57725582301266","0.857303811869768","25.95740112",
"1/10/1979","-45.9375","-22.6366004943848","1212","23.594","11.327","0.3570560712","1.88126241254332","0.839665579350622","23.68850598",
"1/11/1979","-45.9375","-22.6366004943848","1212","20.626","14.044","6.1952552568","1.78321018734122","0.936337585121818","12.67369146",
"1/12/1979","-45.9375","-22.6366004943848","1212","18.079","14.697","25.823020932","1.70168728130605","0.971072974333755","5.84442612",
"1/13/1979","-45.9375","-22.6366004943848","1212","18.168","13.292","2.7740491704","2.3744774438045","0.956521848596211","9.8505567",
"1/14/1979","-45.9375","-22.6366004943848","1212","22.14","12.987","0.5475998664","2.41193608151384","0.856990347376752","22.46461362",
"1/15/1979","-45.9375","-22.6366004943848","1212","22.956","13.045","0.6608965824","2.07095430837614","0.861499630113687","21.9524058",
"1/16/1979","-45.9375","-22.6366004943848","1212","22.306","14.01","0.8909229312","2.65295672588486","0.864636097798175","26.6236317",
"1/17/1979","-45.9375","-22.6366004943848","1212","23.981","14.047","0.4978176264","2.55287522042215","0.828282285931093","30.70321092",
"1/18/1979","-45.9375","-22.6366004943848","1212","24.127","14.726","2.6530283664","2.05235780344","0.858528719336423","29.27876085",
"1/19/1979","-45.9375","-22.6366004943848","1212","21.889","13.839","2.7088138224","2.36483629506144","0.913263477061658","19.31742819",
"1/20/1979","-45.9375","-22.6366004943848","1212","19.234","15.286","3.458975796","1.85387269738476","0.952827214636632","6.35501718",
"1/21/1979","-45.9375","-22.6366004943848","1212","17.867","15.338","13.429922688","1.40799872977729","0.978350947183069","2.082319164",
"1/22/1979","-45.9375","-22.6366004943848","1212","16.539","14.437","3.024669888","2.21415734673119","0.964353206715071","5.86653696",
"1/23/1979","-45.9375","-22.6366004943848","1212","21.377","13.354","4.219435152","2.07378272836164","0.919227448934419","30.58060086",
"1/24/1979","-45.9375","-22.6366004943848","1212","23.481","12.275","6.2029895184","1.42699391384222","0.926857708352102","22.9124754",
"1/25/1979","-45.9375","-22.6366004943848","1212","24.274","13.733","14.993763192","1.5259702049883","0.943708197504229","26.60788152",
"1/26/1979","-45.9375","-22.6366004943848","1212","23.396","14.54","7.580571048","1.30769573132141","0.919132312922067","30.90408354",
"1/27/1979","-45.9375","-22.6366004943848","1212","23.832","15.156","1.8453604824","1.83757728971759","0.911480495632547","17.998987158",
"1/28/1979","-45.9375","-22.6366004943848","1212","20.9","15.205","4.3104152664","2.19485938564436","0.941046615720322","11.71822158",
